id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
f470fbfb8a45a534,No they shouldn't.  Sublime is a ska band not a surf band.,0,0,0,0,0,0
0e55e30fdf3a6c4b,"To Wikipedia admins 

this is a Internet site or what ever you should follow international laws if Americans don't like to change their country name to ISIS Syrian government don't like to use other names which they didn't give,understand what i'm telling or wikipedia will go to international courts.",0,0,0,0,0,0
89b2262b5e59ff03,what kinds of termination of war for world war 2?,0,0,0,0,0,0
8ef77637d30feaa5,"Also, the article on hull number 1000 Zumwalt puts it's cost at 3.3bn.",0,0,0,0,0,0
e8577068eb6afd41,what don't you understand about fair use? does it exist at all?,0,0,0,0,0,0
50bf264ef3a6cd9e,"Way out of line? 

Out of line? Am I your subordinate? Do I exist only to be controlled by bigots like you? Right-wing prat",1,0,1,0,1,0
8e0b837d7a4ce547,"""

Kind of difficult to """"focus energies"""" when being brought up on spurious sockpuppeting accusations by someone with a years-long agenda to dig for sources that appear to be absolutely unique in the world and do not establish any form of corroborated """"knowledge"""" about a topic that is frankly undue, don't you think?    """,0,0,0,0,0,0
d26b223140b43076,". 

P.s. Victor actually told me himself at the practice. What do I have to do to prove it? Record him?!? LOL yea son",0,0,0,0,0,0
4e491d30cdd5ca37,"State party I like as with Unesco, they dont get involved in politics and so list members as State Party. So in theory SeaLand could become a state party despite being a self goverend off shore platform.",0,0,0,0,0,0
183d00f366397ba3,"Intercontinental Champion]] Jeff Hardy
WWE World Tag Team Champions Hardcore Holly & Cody Rhodes
WWE Women's Champion Beth Phoenix",0,0,0,0,0,0
f298225b1df95d22,"""

 First sentence  painfully misguided 

A week is a time unit equal to seven days, used by the Jews at least since the time of Abraham[1], who probably lived between 2000 BCE and 1630 BCE[2].

OK, let us count the ways this makes no sense.

1) """"used by the Jews at least since the time of Abraham""""  since Abraham is the earliest figure in the Old Testament whom one might reasonably call a Jew, the """"at least"""" makes no sense.

2) Abraham to the best of my knowledge is not recorded in Genesis as using a calendar of any sort. The citation attached this statement refers to Moses, an entirely different figure.

3) Abraham is a legendary figure who may or may not have existed, and who is only referred to in the books of the bible, written hundreds or thousands of years after his supposed death.  I don't want to start a fight on religion, but his historicity is certainly up for debate, and a citation of a 100-year-old encyclopedia from a religious institution based in part the Abraham narrative isn't really a reliable source.

Surely the ancient Jewish use of the seven-day week ought to be mentioned in the lede, as it is the ultimate origin of the West's seven-day week, but the first sentence as currently written is nonsense.  Any suggestions on rewrites?   """,0,0,0,0,0,0
3ba433cddcd773d6,"Judge Judy Parodies
To be an inclusive article, I have repeatedly added reference to a Judge Judge parody from Comedy Centrals' series The Man Show. Yet, each and everytime I post it User by the name of Meshach keeps deleting it. As a parody of the show, this should be included along with all other parodies, Meshach's reverts constitute vandalism as I am able to cite my sources and provide references (via the form of video links). I would like the opinion's of other editors before I move forward in a dispute resolution with an administrator. Many thanks!",0,0,0,0,0,0
517a87efc3792b84,"It's not what I say, it's what Richard Dawkins says. With that in mind, and continuing to ignore the aside about positive discrimination, which you incorrectly consider to be a point about taxonomy, your argument appears to be: Folk taxonomies do not reduce uncertainty by 100%, therefore, any scientific taxonomy related to a folk taxonomy is useless. Can you confirm that?",0,0,0,0,0,0
952bc9978ecc55bb,"Ah - thanks. Do you think it would make sense to have separate articles about the routes? Otherwise we have a problem with duplication - which article, Blue or Orange, talks about the details of the Rosslyn-Stadium section? Obviously, as the Red Line is separate from the others, those route sections can redirect to it. Maybe cover Greenbelt and Branch Avenue on Green, Vienna and New Carrollton on Orange, and Addison Road and Franconia-Springfield on Blue, but the Huntington Route doesn't even have a single color. We also get a problem then in that Stadium-Metro Center is covered on the Orange Line article, as is Rosslyn-Vienna, but details of Metro Center-Rosslyn would be on a different article.  (talk - )",0,0,0,0,0,0
21b39636ab2f3584,"""
Many legitimate news sources referred to the crime as rape, and the victim as a child.  Wikipedia does not censor, it list what is listed in the legitimate third party media sources. ''' """,0,0,0,0,0,0
504be9037114234c,"""

 Please do not create hoaxes. Please do not attempt to put misinformation into Wikipedia to test our ability to detect and remove it. This has been done before, with varying results.   Most hoaxes are marked for deletion within a few hours after they are created.   Some Wikipedians suspect that the majority of hoaxes here are attempts to test the system.  Kindly — do not disrupt Wikipedia to illustrate a point.  If you are interested in how accurate Wikipedia is, a more constructive test method is to try to find inaccurate statements that are already in Wikipedia, and then to check to see how long they have been in place and, if possible, correct them.  talk """,0,0,0,0,0,0
09e42c1742c9a50c,"but ew 

He was a fαg which is against nature and is the most disgusting thing. Youre not a woman are you? Sexism is wrong. Being wrong is for women.",1,0,1,0,0,1
c616ecd40eb6aca4,I actually heard that he died from alcohol poisioning.,0,0,0,0,0,0
05c00892d91aafba,"I'm not sure I understand what you're saying. I asked how much of our language was replaced with words from French and Italian. Are you saying that our language was replaced by 70-80 percent with French and Italian words? I'm guessing there is a misunderstanding here, but yes, please can a script to find out. Do anything you can. We should know these figures.",0,0,0,0,0,0
bfb743be52b62f08,Edouard-Henri Aril (Talk) -,0,0,0,0,0,0
3f0d34d0154b16ba,3RR does not apply to vandalism.71.217.206.152,0,0,0,0,0,0
d5af1baae5529b2e,"I sent a message, with respect.",0,0,0,0,0,0
9f62994d6c7f4ec4,furthermore it would prove to be highly advantageous to you if you go,0,0,0,0,0,0
4b4b0eefbaa3bc76,Thank you now I can edit - Elonka ais I was ashly who was edit warring? What the hell is she playing at?,0,0,0,0,0,0
b8103eabb6d84f8d,"Jesus Christ is common usage for Christians, but not common academic or scholarly usage.  Scholars and academics use NPOV terms, and so should Wikipedia. QED.
 I'm working on these things one at a time, and I can't do them all at the same time.  Next I'll have every other special interest group pleading the case for its own favorite religious leader, and telling me to fix up Jesus first before picking on them.
Respectfully  21:31, 21 Jul 2004 (UTC)",0,0,0,0,0,0
6f1e3cfe4e0c656a,"{{unblock|because i didnt know i am so sorry it wasnt me it was my brother i love wikipedia and i would never do that! please please let me back i need to make a constructive edit! if you i will go in my room and shot myself in the head thats how much i love wikipedia, i have my gun loaded my life is in your hands.",0,0,0,0,0,0
fe9f249f229314b2,"""

 AIDS origins opposed to scientific consensus 

We had come to a consensus to change the name to AIDS origins according to denialists.  One editor decided to move the name to this ungrammatical and difficult to understand one (since there is no such thing as scientific consensus).  I can't move it back.  Can you, since it requires an admin to do it.  Thanks.   Talk• Contributions """,0,0,0,0,0,0
8fcdb667e3a6b5eb,"Wow, interesting to see that after literally years, this  user is still here trolling this article. Compelling arguments have been made against you, yet you still abuse administrative privileges to get your way here.  Maybe it's time to give it a rest?  Agreed somebody needs to police this article, but you are far from impartial. 75.127.214.162",0,0,0,0,0,0
03adcfd934238242,"BTW the article looks good for now as most of the information from the anti-Jonathan sources are quite factual, but this heads-up is needed in anticipation of future BLP un-compliant additions.",0,0,0,0,0,0
52b181bbb2fc0d06,"BITCH 

Your a bitch!

Why did you delete the English Way page?",1,0,1,0,1,0
a5f65559b70afff8,"This article is in blatant violation of the Wikipedia neutrality standard. it lack proper citations, balance and information on both the author, his work, and his career.",0,0,0,0,0,0
fd6d21dae65d9cb1,""":::::What's meaningless is your POV argument.  The most politically charged event of the past 60 years, that piece of the Cold War the entire world pointed to, was the Berlin Wall.  Now, a new wall is being built, garnering similar attention.  What's more, almost everyone who hears of this seperation barrier instantly says, """"like the Berlin Wall?""""  All other references to the Berlin Wall have been removed from the article.  The link belongs.  15:49, 25 Jul 2004 (UTC)

""",0,0,0,0,0,0
c841640830b25b05,"""

RE: RexxS: That wasn't what I said.  My concern is that Sasata has said, """"It's pretty obvious I don't think it meets the criteria 3a (comprehensiveness), and it's also pretty obvious that we have different opinions about the comprehensiveness criterion. In its current state I would fail on that basis.""""  In agreeing with her opinon, do you agree with her statement about comprehensiveness?  My expertise and the reviewer's expertise in this field are not at issue; the issue is the misapplication of assessment criteria.  Such as issue is independent of the topic of the article   """,0,0,0,0,0,0
3e7e52b1b38b5e5d,"Move to Elizabeth, The Queen Mother of United Kingdom 

She married the Windsor family, making her Mrs Windsor and she never officially mantained that last name post her marriage.  She was given the Queen Mother by her daughter.",0,0,0,0,0,0
96c4c5f6c3671855,"""

Cool.  I'll write him later today to let him know what's involved.  —  Maker5376 """,0,0,0,0,0,0
f33ec4155ca414f7,"Dates being linked 

ok so I don't get why the dates can't be linked anymore I mean we have preferences for the linked dates to either show American way or the European way. What's the point in having that when the dates can't be linked? Are you gonna make that preference for the unlinked dates as well? P.J.",0,0,0,0,0,0
9e862b878737a7c1,"Anyone who writes the filth you write is, by definition, an ignorant racist neo Nazi.",1,0,0,0,1,0
